rain_id,strength_id,status
1,1,OK
1,2,OK
1,3,OK
1,4,OK
1,5,OK
1,6,OK
1,7,OK
1,8,OK
1,9,OK
1,10,OK
1,11,OK
1,12,OK
1,13,OK
1,14,OK
1,15,OK
1,16,OK
1,17,OK
1,18,OK
1,19,OK
1,20,OK
1,21,OK
1,22,OK
1,23,OK
1,24,OK
1,25,OK
1,26,OK
1,27,OK
1,28,OK
1,29,OK
1,30,OK
2,1,OK
2,2,OK
2,3,OK
2,4,OK
2,5,OK
2,6,OK
2,7,OK
2,8,OK
2,9,OK
2,10,OK
2,11,OK
2,12,OK
2,13,OK
2,14,OK
2,15,OK
2,16,OK
2,17,OK
2,18,OK
2,19,OK
2,20,OK
2,21,OK
2,22,OK
2,23,OK
2,24,OK
2,25,OK
2,26,OK
2,27,OK
2,28,OK
2,29,OK
2,30,OK
3,1,OK
3,2,OK
3,3,OK
3,4,OK
3,5,OK
3,6,OK
3,7,OK
3,8,OK
3,9,OK
3,10,OK
3,11,OK
3,12,OK
3,13,OK
3,14,OK
3,15,OK
3,16,OK
3,17,OK
3,18,OK
3,19,OK
3,20,OK
3,21,OK
3,22,OK
3,23,OK
3,24,OK
3,25,OK
3,26,OK
3,27,OK
3,28,OK
3,29,OK
3,30,OK
